[Thu Feb  7 21:37:46 2019] нннннннннннннннннннннннннннннннннннннннннннннннннннн
[Thu Feb  7 21:45:59 2019] нннннннннннннннннннннннннннннннннннн|
[Thu Feb  7 21:57:35 2019] Syntax error at[3,17]
[Thu Feb  7 22:13:59 2019] Syntax error at[9,7]
[Thu Feb  7 22:14:52 2019] Syntax error at[9,7]
[Thu Feb  7 22:27:38 2019] Syntax error at[9,7]
[Thu Feb  7 22:35:34 2019] Syntax error at[12,14]
[Thu Feb  7 23:09:16 2019] Syntax error at[9,7]
[Sun Feb 17 10:26:01 2019] Syntax error at[1,12]
[Sun Feb 17 10:27:02 2019] Syntax error at[1,12]
[Sun Feb 17 10:29:00 2019] Syntax error at[1,12]
[Sun Feb 17 10:29:35 2019] Syntax error at[1,12]
[Sun Feb 17 10:40:36 2019] Syntax error at[3,8]
[Sun Feb 17 10:41:54 2019] Syntax error at[3,8]
[Sun Feb 17 14:21:32 2019] Syntax error at[9,6]
[Sun Feb 17 14:21:45 2019] Syntax error at[9,6]
[Sun Feb 17 14:28:30 2019] Syntax error at[9,6]
[Sun Feb 17 14:31:52 2019] Syntax error at[11,9]
[Sun Feb 17 14:32:53 2019] Syntax error at[11,9]
[Sun Feb 17 14:44:16 2019] Syntax error at[14,6]
[Mon Feb 18 11:34:13 2019] Syntax error at[8,15]
[Mon Feb 18 11:34:49 2019] Syntax error at[8,15]
[Sat Mar  2 18:41:20 2019] Syntax error at[21,3]
[Sat Mar  2 18:42:43 2019] Syntax error at[21,3]
